Store,weight,val_rmspe
349,1.002,0.08821901526459655
350,0.995,0.12046616789186146
351,0.995,0.11605494527063358
352,0.998,0.09212659577268106
353,0.999,0.08045626864517594
354,1.0,0.09734957688522881
355,1.001,0.08137609103454965
356,1.002,0.09756143190589475
357,1.005,0.10009126702726164
358,0.996,0.09465507021899941
359,0.993,0.09846566794502504
360,0.999,0.09874704848904216
361,0.996,0.10863188206056572
362,1.0,0.09836801475195624
363,1.001,0.09873830754556408
364,0.997,0.11015492530640884
365,0.997,0.09600124205298437
366,0.994,0.09828934510835154
367,0.999,0.12243855555703399
368,0.993,0.11873527593209228
369,0.999,0.10442629489716676
370,0.999,0.10716729589599418
371,0.995,0.11258308637395684
372,0.998,0.11036712855233313
373,0.995,0.10041468004642527
374,1.0,0.08449039877194099
375,1.0,0.07846160406396283
376,0.996,0.10136282904497175
377,1.0,0.11274057482963734
378,1.0,0.1278251588989131
379,1.0,0.1114779856485967
380,0.996,0.1270675864522014
381,0.996,0.0673114880185886
382,0.999,0.08831074822001243
383,0.997,0.09697951107637745
384,0.999,0.12668569902000057
385,0.991,0.11201683711433712
386,1.0030000000000001,0.1068741707073502
387,1.0,0.14420173776030246
388,0.997,0.07926049544168869
389,1.0030000000000001,0.10610963603675568
390,1.0,0.10590330572532737
391,0.99,0.10772704213083854
392,0.993,0.10515228678305757
393,0.999,0.12498875092004999
394,0.997,0.10278782449656072
395,0.994,0.10971745642413439
396,0.997,0.10699622873256384
397,0.996,0.14716727987103412
398,0.996,0.13491010144519547
399,0.996,0.10739943216028931
400,0.993,0.12061298065795738
401,0.997,0.09280655494750759
402,0.996,0.140169780404994
403,1.002,0.08584332065410841
404,0.999,0.08932856387558762
405,0.996,0.12194855142993963
406,0.996,0.11832220433425006
407,1.0,0.10274749853029767
408,1.0,0.10361552526181714
409,1.002,0.13061730970632227
410,0.99,0.12109935282860905
411,0.996,0.12096444805905719
412,0.998,0.11650511502245345
413,0.997,0.11111379550642812
414,0.998,0.08059143972740435
415,1.0,0.10222570639931909
416,1.001,0.09523228817199851
417,0.989,0.12995329356629484
418,0.996,0.11368768840117674
419,0.995,0.10466406759117342
420,0.999,0.11475454737449227
421,1.002,0.1389855826281057
422,0.993,0.09306351500869645
423,1.009,0.07017825339087784
424,0.996,0.1128863068142977
425,0.992,0.13774649407873021
426,0.996,0.10718667720563738
427,0.993,0.15918839722508374
428,1.001,0.1199867406626306
429,0.991,0.11049210335986386
430,0.996,0.107085127580714
431,1.0,0.08743744063066618
432,1.002,0.11114099445086711
433,1.004,0.11803959489066242
434,0.995,0.09799756838844412
435,0.995,0.10674332141185641
436,0.998,0.10455902307931758
437,0.993,0.18240952557215184
438,1.0,0.11088253919265657
439,0.994,0.1003304053544816
440,0.994,0.09835758662047919
441,0.999,0.1038047622608919
442,0.997,0.10328383571759187
443,0.997,0.1139323614697987
444,0.995,0.1215035504177157
445,0.998,0.14798634499074895
446,0.992,0.0995239493595393
447,1.001,0.07973885310929567
448,0.997,0.11868889908800813
449,0.995,0.14104838089852714
450,1.005,0.08488975900475733
451,0.999,0.10548932034012035
452,0.999,0.09455911905171895
453,1.0030000000000001,0.14660271977077555
454,1.0,0.10937600818783128
455,1.0,0.12178246323552913
456,0.992,0.12552021149048714
457,0.999,0.10726076587766968
458,0.999,0.11361990715254842
459,1.001,0.0900027432260665
460,1.005,0.10902824740949593
461,0.995,0.14135426519707658
462,0.993,0.11647170373030181
463,0.994,0.11073235121159719
464,1.005,0.07789708495875566
465,0.999,0.10985280114512724
466,0.994,0.1251435170902953
467,0.998,0.15116944309038005
468,1.008,0.14235204816962607
469,1.001,0.09145305064081657
470,0.996,0.1405274628571126
471,0.992,0.08609258193038073
472,1.005,0.10270573224601554
473,0.992,0.11379285439228412
474,0.993,0.10229158378216725
475,0.994,0.139220827832407
476,0.998,0.08954157881584172
477,1.0,0.10209846171183398
478,0.998,0.10840047006773122
479,1.0,0.11649001622321473
480,0.994,0.08191981212005643
481,0.996,0.12034525709163642
482,0.995,0.10284896422191699
483,0.992,0.11151745352952434
484,1.0,0.09918916390721612
485,0.998,0.1020157172347529
486,0.997,0.13014316183487415
487,0.999,0.11037768828804022
488,1.004,0.11599118904840133
489,1.002,0.07494950358646883
490,0.995,0.08118492570504537
491,0.994,0.0908201204094675
492,0.996,0.0953981722332119
493,0.999,0.09432080936932818
494,0.997,0.07301243900969903
495,0.997,0.10359336810740713
496,0.994,0.09119037681692868
497,0.993,0.11026698016093604
498,0.997,0.06158498329581909
499,0.996,0.08406090565822351
500,1.0,0.09137335657364368
501,0.986,0.20290557333422327
502,0.993,0.13758895616094452
503,0.995,0.12427877178072178
504,1.001,0.08934460109667758
505,0.992,0.09912828968450152
506,0.994,0.08734495663606667
507,0.998,0.10565469831097403
508,1.002,0.1154521041195242
509,0.995,0.11380903414610685
510,0.996,0.10970477931220309
511,1.002,0.09834739402093354
512,1.004,0.06676914828949947
513,0.999,0.09502172263498192
514,0.988,0.11724660038096457
515,0.995,0.10040433925092707
516,0.989,0.1965296082787202
517,0.999,0.11379650122740724
518,0.99,0.16203085567957687
519,0.998,0.13079589516458087
520,0.997,0.11686805729887254
521,0.995,0.12527825468399062
522,0.995,0.13388480092386212
523,0.999,0.07798016957544285
524,0.998,0.09944917636233316
525,0.994,0.10561784390369243
526,0.995,0.14556130402881656
527,0.994,0.12206090358599272
528,0.998,0.11092409711070897
529,1.0,0.09355189185997147
530,1.01,0.1265331979088201
531,0.997,0.10858453980582077
532,0.999,0.07157791927114533
533,0.999,0.10345140342411438
534,0.986,0.24680368517276144
535,0.998,0.12385083537530231
536,0.995,0.1186552902677012
537,0.996,0.10234190904511013
538,1.0,0.09652339039370597
539,1.002,0.07409175959279372
540,0.999,0.12731964397642367
541,0.997,0.1418177486764469
542,0.991,0.11320776786369373
543,0.994,0.14331129989200037
544,1.0,0.0918759056590496
545,0.998,0.09302641584901132
546,1.005,0.09486506197901778
547,0.998,0.11819868310488041
548,0.988,0.12482957594722856
549,0.998,0.11202988781746345
550,0.98,0.1949475721326022
551,0.999,0.1028358483081388
552,0.994,0.12227600335845155
553,0.998,0.10625129610561371
554,1.012,0.13660070707710695
555,0.996,0.10215500734955046
556,0.993,0.10211543209879474
557,0.989,0.15598541415678338
558,1.004,0.13211377330287816
559,0.993,0.08881925494708282
560,1.009,0.10664970649279265
561,0.994,0.13083342195531003
562,0.996,0.08472071946766513
563,0.986,0.15895931642971786
564,0.999,0.09494801055020984
565,0.996,0.08758063933851135
566,0.999,0.11154782729166082
567,0.992,0.10415147046896961
568,0.997,0.10161706581176529
569,1.0,0.07911208674712653
570,0.991,0.12927695010777263
571,0.998,0.11786587381242244
572,0.996,0.12436102434334449
573,0.995,0.11030723354096321
574,1.001,0.09644559525209764
575,0.984,0.17809184869855546
576,0.996,0.10099095921133443
577,1.001,0.1133992117361144
578,1.0110000000000001,0.09501847041059773
579,0.993,0.10065286036161422
580,0.998,0.1063096465153941
581,0.991,0.11118007882992804
582,0.983,0.13716013088396473
583,0.998,0.09138579079705954
584,0.997,0.10231935995062169
585,1.005,0.10456656040761073
